Country,ISO3C,Age group,Treatment,Observed,Predicted,Lower CI,Upper CI
Belgium,BEL,adult,hosp,6885,7488,3529,13189
Belgium,BEL,adult,hosp,10461,7488,3529,13189
Canada,CAN,adult,hosp,13183,8717,4052,15488
Germany,DEU,adult,hosp,66,8611,4007,15290
Thailand,THA,adult,hosp,579,463,279,692
United States,USA,adult,hosp,9401,17818,7764,32961
United States,USA,adult,hosp,41435,17818,7764,32961
United States,USA,adult,hosp,48577,17818,7764,32961
United States,USA,adult,hosp,7713,17818,7764,32961
United States,USA,adult,hosp,30188,17818,7764,32961
United States,USA,adult,hosp,35415,17818,7764,32961
United States,USA,adult,hosp,6941,17818,7764,32961
Argentina,ARG,children,hosp,2659,1434,828,2310
China,CHN,children,hosp,423,701,428,1080
China,CHN,children,hosp,1162,701,428,1080
China,CHN,children,hosp,1050,701,428,1080
China,CHN,children,hosp,411,701,428,1080
China,CHN,children,hosp,76,701,428,1080
Colombia,COL,children,hosp,1336,526,329,797
Colombia,COL,children,hosp,1237,526,329,797
Colombia,COL,children,hosp,983,526,329,797
El Salvador,SLV,children,hosp,174,522,326,790
Finland,FIN,children,hosp,1876,5172,2695,8997
Finland,FIN,children,hosp,2492,5172,2695,8997
Germany,DEU,children,hosp,4284,6534,3340,11525
Germany,DEU,children,hosp,75,6534,3340,11525
Germany,DEU,children,hosp,3214,6534,3340,11525
Italy,ITA,children,hosp,2780,3297,1781,5584
Italy,ITA,children,hosp,2830,3297,1781,5584
Italy,ITA,children,hosp,3237,3297,1781,5584
Italy,ITA,children,hosp,3135,3297,1781,5584
Kenya,KEN,children,hosp,78,94,67,127
Mexico,MEX,children,hosp,13346,678,416,1044
Panama,PAN,children,hosp,532,1541,885,2492
South Africa,ZAF,children,hosp,642,593,368,905
Spain,ESP,children,hosp,4649,3060,1663,5159
Spain,ESP,children,hosp,4248,3060,1663,5159
Thailand,THA,children,hosp,272,385,246,571
Thailand,THA,children,hosp,176,385,246,571
Thailand,THA,children,hosp,465,385,246,571
Thailand,THA,children,hosp,316,385,246,571
Thailand,THA,children,hosp,418,385,246,571
Thailand,THA,children,hosp,405,385,246,571
Thailand,THA,children,hosp,385,385,246,571
Thailand,THA,children,hosp,314,385,246,571
United Kingdom,GBR,children,hosp,6344,5314,2763,9259
United Kingdom,GBR,children,hosp,5027,5314,2763,9259
United States,USA,children,hosp,3994,13218,6379,24291
United States,USA,children,hosp,8462,13218,6379,24291
Vietnam,VNM,children,hosp,90,196,132,279
Australia,AUS,elderly,hosp,5496,7959,5023,11700
Austria,AUT,elderly,hosp,5166,6903,4390,10089
Canada,CAN,elderly,hosp,4013,7387,4681,10826
Canada,CAN,elderly,hosp,3218,7387,4681,10826
China,CHN,elderly,hosp,1540,765,547,1022
