ISO Code,Country,Healthcare expenditure per capita,Inpatient_Adults,Inpatient_Children,Inpatient_Older people,Outpatient_Adults,Outpatient_Children,Outpatient_Older people
SOM,"Somalia, Fed. Rep.",15.90,"17.44 (2.54, 45.83)","15.93 (2.40, 41.55)","16.51 (2.25, 43.52)","4.74 (0.67, 12.73)","4.35 (0.65, 11.83)","4.55 (0.70, 12.11)"
MDG,Madagascar,16.91,"17.95 (2.72, 48.00)","16.86 (2.53, 45.54)","17.42 (2.54, 45.77)","4.95 (0.73, 13.21)","4.47 (0.64, 12.17)","4.69 (0.65, 12.50)"
COD,"Congo, Dem. Rep.",25.26,"27.25 (3.96, 71.14)","24.94 (3.64, 65.48)","26.00 (3.71, 69.32)","6.17 (0.89, 16.96)","5.54 (0.78, 15.18)","5.87 (0.86, 15.87)"
BDI,Burundi,25.58,"27.90 (3.99, 75.70)","25.16 (3.86, 65.87)","27.01 (4.09, 70.21)","6.15 (0.88, 16.91)","5.60 (0.86, 15.20)","5.88 (0.89, 15.70)"
NER,Niger,27.46,"30.17 (4.50, 80.48)","27.53 (4.08, 72.47)","28.93 (4.09, 77.51)","6.42 (0.95, 17.54)","5.81 (0.92, 15.46)","6.19 (0.87, 16.78)"
ETH,Ethiopia,28.04,"30.51 (4.46, 81.05)","27.81 (4.12, 73.56)","29.42 (4.28, 79.04)","6.42 (0.96, 17.18)","5.86 (0.87, 15.67)","6.19 (0.92, 16.44)"
ERI,Eritrea,28.06,"30.27 (4.30, 84.03)","27.57 (3.94, 74.79)","28.74 (4.38, 76.67)","6.42 (1.00, 17.07)","5.86 (0.89, 15.78)","6.25 (0.84, 16.48)"
GMB,"Gambia, The",29.94,"32.63 (4.56, 88.42)","29.87 (4.03, 79.70)","31.42 (4.54, 82.90)","6.71 (1.00, 18.34)","6.12 (0.92, 16.35)","6.49 (0.98, 17.69)"
MLI,Mali,30.81,"33.69 (5.05, 89.36)","30.77 (4.77, 82.19)","32.45 (5.02, 86.31)","6.85 (1.00, 18.36)","6.12 (0.89, 16.57)","6.65 (0.97, 18.19)"
SDN,Sudan,32.71,"36.50 (5.80, 98.78)","32.78 (4.61, 87.27)","34.21 (5.05, 93.37)","7.18 (1.06, 19.68)","6.45 (0.97, 17.36)","6.72 (1.04, 17.66)"
